Reading from file ....
 536 out of (lagpas sa sampung daliriri)
 Done reading from file.
Reading from file ....
 460 out of (lagpas sa sampung daliriri)
 Done reading from file.
Reading from file ....
 387 out of (lagpas sa sampung daliriri)
 Done reading from file.
makapagsuporta = ~ma~ka~pag vs ~makapag
napalawak = ~na~pa vs ~napa
1960’s = *1960’s vs *1960's
hahantong = $ha+ng vs $ha
kapayapaan = ~ka+an vs #kapayapaan
paghahati-hati = ~pag$hahati vs ~pag@ha$hati
dumadaloy = $da@um vs ~duma
tagataguyod = $ta vs ~taga
paglalarawan = ~pag$la+an vs ~pag$la
naiwan = ~na+an vs ~na
A-list = :F*a-list vs :F*alist
karimlan = *karimlan vs #karimlan
bayang = +ng vs +g
bumagsak = @um vs @ma
pagsasaayos = *pagsasaayos vs ~pag$sa
pag-project = ~pag$ vs ~pag
hanging = *hanging vs +g
interests = *interests vs %%%interestoss
Hanggang = :FS*hanggang vs :FS+g
mananatili = ~ma~na vs ~ma$na
nagplaplanong = ~nag$pl+ng vs ~nag$pla+ng
hahawakan = $ha+an vs ~ha+an
hanggang = *hanggang vs +g
pandinig = *pandinig vs ~pan
kautusan = *kautusan vs ~ka+an
pangunahing = *pangunahing vs ~pang+hing
Kadahilanan = :F*kadahilanan vs *kadahilaan
pag-unawa = ~pag$ vs ~pag
marahil = ~ma vs #marahil
madaanan = *madaanan vs ~ma+an
inilahad = ~i~ni vs ~ini
Pinapayagan = :FS~pina+an vs :FS$pa@in+an
limitasyon = *limitasyon vs #limitasyon
ekwasyon = *ekwasyon vs #ekwasyon
Pinag-aralan = :FS~pinag$+an vs :FS~pinag+an
analohiya = *analohiya vs #analohiya
libertaryong = *libertaryong vs %%%libertaryong
apatnapu’t = *apatnapu’t vs *apatnaput
magpprotekta = *magpprotekta vs ~mag$p
pinakamalamig = ~pinaka~ma vs ~pinaka
nangungunang = *nangungunang vs ~na$ngu+ng
kataasang = *kataasang vs ~ka+ang
kinalaman = @in+an vs #kinalaman
pagkahari = ~pag~ka vs ~pagka
pagbabanta = ~pag$ba vs ~nag$ba
manggagawa = *manggagawa vs ~mang$ga
Goodbye's = :F*goodbyes vs :F*goodbye's
isinasagawang = *isinasagawang vs ~isina+ng
minoryang = *minoryang vs +yang
pampanitikan = *pampanitikan vs ~pam
inirerekumendang = *inirerekumendang vs ~i~ni$re+ng
pangangalaga = *pangangalaga vs ~pa$nga
neo-klasisismo = *neo-klasisismo vs *neoklasisismo
nakahati = ~na~ka vs ~naka
makalikha = ~ma~ka vs ~maka
taga-pagmanman = $taga~pag+an vs ~taga~pag
nakakamit = ~na~ka vs ~naka
akusasyong = *akusasyong vs +g
DYRK1A = :F*dyrk1a vs :A*dyrk1a
electrical = *electrical vs *electircal
teritoryal = *teritoryal vs #teritoryal
pampanguluhang = *pampanguluhang vs ~pam+hang
kamara = *kamara vs #kamara
sapilitang = *sapilitang vs ~sa+ang
dedikado = *dedikado vs #dedikado
yamang = *yamang vs +g
ngayong = *ngayong vs +g
karanasan = *karanasan vs #karanasan
pangkemikal = *pangkemikal vs ~pang
magkakaroon = ~mag~ka vs ~mag$ka
piksyonal = *piksyonal vs #piksyonal
iniuugnay = *iniuugnay vs ~in~i$u
Spain = :F+in vs :F*spain
dosenang = +ng vs _ng
iniilaan = ~i~ni+an vs ~ini~i
daang = *daang vs +g
ipinagkaloob = ~i~pinag~ka~pag vs ~i~pinag
paghambing = ~pag+ng vs ~pag
paligid = ~pa vs #paligid
lalong-lalo = $lalong vs $lalo
Cypriot-Greek = :F*cypriot-greek vs :F*cypriotgreek
nangangalisag = *nangangalisag vs ~na$nga
napinalisado = *napinalisado vs ~na+isado
Kadalasang = :FS*kadalasang vs :FS~ka+ang
Nakatayo = :FS~na~ka vs :FS~naka
tahasang = *tahasang vs +ang
lohikal = *lohikal vs #lohikal
Historyan = :F*historyan vs :F~an
Sumikat = :FS@um vs :FS#um
rayon = *rayon vs #rayon
Hilagang-Kanluran = :F$hilagang+an vs :F*hilagang-kanluran
pinakamadaming = ~pinaka~ma+ng vs ~pinaka+ng
nararapat = *nararapat vs ~na$ra
nakasalalay = ~na~ka vs ~naka
ipagpalagay = ~i~pag vs ~i~pag~pa
nakapag-isip = *nakapag-isip vs ~naka~pag
naratiobong = *naratiobong vs +ng
parangal = *parangal vs ~pa
alalahanin = +in+han vs +hanin
pook-pamilihan = $pook~pa+han vs %%pook-pamilihan
pang-ekonomiyang = ~pa$ng+ng vs ~pang+ng
naiwang = *naiwang vs #~na+g
magandang = ~mag+ng vs ~ma+ng
pagpapahina = ~pag~pa vs ~pag$pa
pangkaraniwan = *pangkaraniwan vs ~pang
Jean-Jacques = :F*jean-jacques vs :F*jeanjacques
nakasaad = ~na~ka vs ~naka
kahariang = *kahariang vs +g
panimbang = ~pa+ng vs +ng
paliparan = *paliparan vs ~pa+an
makapasa = ~ma~ka vs ~maka
sunugin = *sunugin vs +in
kinakailangang = *kinakailangang vs %%%kinakailangang
kalusugan = *kalusugan vs ~ka+an
Gumagamit = :FS$ga@um vs :FS%%%gumagamit
katauhan = *katauhan vs ~ka+han
nakakasira = ~na~ka vs ~na$ka$ka
kapanginoonan = *kapanginoonan vs ~ka+an
biyolenteng = *biyolenteng vs %%%biyolenteng
Pagkatapos = :FS~pag~ka vs :FS~pag
pinakamabigat = ~pinaka~ma vs ~pinaka
nangingibabaw = *nangingibabaw vs ~na$ngi
pangalan = ~pa+an vs ~pa
kopoonan = *kopoonan vs @o
karaniwang = *karaniwang vs +g
tagapagturo = *tagapagturo vs ~taga~pag
nangangahulugang = *nangangahulugang vs ~na$nga+g
nagmamaneho = ~nag~ma vs ~nag$ma
Ipinagtatanggol = :FS~i~pinag$ta~pag vs :FS~i~pinag$ta
ipinaghambing = ~i~pag@in+ng vs ~i~pinag
pinapayagang = *pinapayagang vs ~pina+ng
pagbiyabiyahe = ~pag$bi vs ~pag$biya
inihahalal = ~i~ni$ha vs ~ini$ha
pamamahay = *pamamahay vs #pamamahay
pinakitunguhan = *pinakitunguhan vs ~pinaki+han
sumasaklaw = $sa@um vs %%%sumasaklaw
kanlurang = *kanlurang vs +g
nakatalaga = ~na~ka vs ~naka
mapagmahal = ~ma~pag vs ~mapag
lupong = *lupong vs +g
maaasahang = *maaasahang vs ~ma$a+hang
magkakaibang = *magkakaibang vs ~mag$ka$ka+ng
patugtugin = *patugtugin vs ~pa+in
nakapaligid = ~na~ka~pa vs ~naka~pa
labanan = +nan vs +an
pantay-pantay = ~pa$ntay vs $pantay
pinaglalaban = ~pag$la@in+an vs ~pinag$la
proporsyonal = *proporsyonal vs #proporsyonal
tataas = $ta vs ~ta
Humahadlang = :FS$ha@um+ng vs :FS%%%humahadlang
naipamamahagi = *naipamamahagi vs ~nai@ma
genes-first = $genes vs %%genesfirst
bat-and-ball = *bat-and-ball vs %%batandball
nagawa = ~nag vs +na
Nanalo = :FS*nanalo vs :FS~na
pasukang = ~pa+ng vs #+g
pulitikal = *pulitikal vs +l
malalang = ~ma+ng vs +ng
abutin = *abutin vs +in
subhetibong = *subhetibong vs +ng
pagkalipas = ~pag~ka vs ~pagka
Noong = :FS+ng vs :FS+g
Pangalawang = :FS~pa+ng vs :FS~pang+ng
pabukas-palad = ~pa$bukas vs ~pa
Ipinangalan = :FS~i~pa@in+an vs :FS~i~pina
pagbibigay-malay = ~pag$bibigay vs %%pagbibigaymalay
bulkanisadong = *bulkanisadong vs +ng
una’y = *una’y vs *una'y
katotohanan = *katotohanan vs ~ka+hanan
katayuan = *katayuan vs ~ka+an
layuning = *layuning vs +g
karagdagan = *karagdagan vs ~ka+an
lumaban = @um+an vs @um
itinuturing = ~i$tu@in+ng vs %%%itinuturing
pinagkasunduan = *pinagkasunduan vs ~pinag~ka+an
industriyalistang = *industriyalistang vs +listang
tagapalo = *tagapalo vs #taga
Sumalangsang = :FS@um+ng vs :FS%%%sumulangsan
mapanlikhang = *mapanlikhang vs ~ma~pan+ng
naka-print = ~na~ka$ vs *nakaprint
sitwasyong = *sitwasyong vs +g
kawalang-dangal = ~ka$walang vs %%%kawalang-dangal
Mahigit = :F~ma vs ~ma
biyas = *biyas vs #biyas
malayo = ~ma vs #malayo
metabolism-first = $metabolism vs %%metabolismfirst
Nilalarawan = :FS~ni$la+an vs :FS~ni$la
ipatungkol = ~i~pa vs ~ipa
bat-at-ball = *bat-at-ball vs *batatball
pag-ikot = ~pag$ vs ~pag
inaangkat = ~i~na vs ~in$a
pangontra = ~pa vs ~pang
napakalaking = *napakalaking vs ~napaka+ng
kalahating = *kalahating vs +ng
ipinagpapalagay = ~i~pinag~pa~pag vs ~i~pinag$pa
pangkalahatan = *pangkalahatan vs ~pang~ka+an
inamin = +in vs ~in
pangkaraniwang = *pangkaraniwang vs ~pang+g
Nararapat = :FS*nararapat vs :FS~na$ra
independe = *independe vs #independe
makabuo = ~ma~ka vs ~maka
Nangangahulugan = :FS*nangangahulugan vs :FS%%%Nangangahulugan
iniiwasan = ~i~ni+an vs ~i~ni
Inakala = :FS~i~na vs :FS~in
pinapakawalan = ~pina~pa+an vs ~pina~pa~ka
African-Eurasian = :F*african-eurasian vs :F*africaneurasian
ika-18 = *ika-18 vs *ika18
ika-19 = *ika-19 vs *ika19
ika-14 = *ika-14 vs *ika14
ika-11 = *ika-11 vs ~ika
pagkakamali = ~pag~ka vs ~pag$ka$ka
subhetibo = *subhetibo vs +ng
tagasalo = *tagasalo vs ~taga
nasakupang = *nasakupang vs ~na+ang
kasalukuyang = *kasalukuyang vs +g
umiiral = ~um~i vs #umiiral
dominanteng = *dominanteng vs +ng
di-sibilisadong = $di+ng vs ~di+ng
pinuno = @in vs #pinuno
tanawing = *tanawing vs +ing
ipinanganak = ~i~pa@in vs ~i~pinang
ika-26 = *ika-26 vs *ika26
ika-20 = *ika-20 vs %%%ika-20
kunin = *kunin vs #kunin
gayong = *gayong vs +ng
taglamig = *taglamig vs ~tag
pag-aanunsyo = *pag-aanunsyo vs ~pag$a
inimungkahi = ~i~ni vs ~ini
painumin = *painumin vs ~pa+in
nakadikit = ~na~ka vs ~naka
panghimpapawid = *panghimpapawid vs ~pang
kapansin-pansing = *kapansin-pansing vs ~ka$pansin+g
isinasaalang-alang = ~i$sinasaalang+ng vs %%%isinasaalang-alang
imaging = ~i+ng vs *imaging
nagkakaiba = ~nag~ka vs ~nag$ka
nakahihimasok = *nakahihimasok vs ~naka$hi
Tinatanggap = :FS$ta@in vs :FS~tina
inanak = *inanak vs ~in
nanakawan = ~na+an vs ~ma+an
praksyon = *praksyon vs #praksyon
pag-uunawa = *pag-uunawa vs ~pag$u
nangyayari = *nangyayari vs ~nang$ya
curball = *curball vs #curball
kapaligiran = *kapaligiran vs ~ka~pa+an
artikulong = *artikulong vs +ng
pagmamasid = ~pag~ma vs ~pag$ma
papadaluyin = *papadaluyin vs $pa+in
Bas-reliefs = :F*bas-reliefs vs :F*basreliefs
Kasunduan = :F*kasunduan vs :F*~ka+an
mahinahong = *mahinahong vs ~ma+g
pangangasiwa = ~pa$ng vs ~pa$nga
lumilikas = $li@um vs ~lumi
pagdaragdag = *pagdaragdag vs ~pag$da
kontrolado = *kontrolado vs +ado
Nakatala = :FS~na~ka vs :FS~naka
kabuung = *kabuung vs *kabuunh
gumagawa = $ga@um vs ~guma
ikawalong = ~i~ka+ng vs ~ika+ng
humantong = @um+ng vs @um
pangpubliko = *pangpubliko vs ~pang
sumilalim = *sumilalim vs %%%sumilalim
Ginagawa = :FS$ga@in vs :FS%%%ginagawa
Nag-uumpisa = :FS*nag-uumpisa vs :FS~nag$u
parisukat = *parisukat vs #parisukat
Sumali = :FS*sumali vs :FS@um
masalawahang = *masalawahang vs ~ma+g
mag-opera = ~mag$ vs ~mag
kulay-abo = $kulay vs *kulayabo
panggatong = *panggatong vs ~pang
naka-papel = ~na~ka$ vs ~naka
pagkamamamayan = ~pag~ka+an vs ~pagka
itinayo = ~i@in vs ~i+in
pang-agrikulturang = ~pa$ng+ng vs ~pang+ng
ginagamitan = $ga@in+an vs %%%ginagamitan
magkahalong = ~mag~ka+ng vs ~magka+ng
Maaaring = :FS+ng vs :FS~ma$a+ng
kilusang = *kilusang vs +g
Labing-Isang = :F$labing+ng vs :F%%labing-isang
isdaan = +an vs #isdaan
pocket-book = $pocket vs *pocketbook
pasukan = *pasukan vs +an
tagpuan = *tagpuan vs #tagpuan
dumarayo = *dumarayo vs $da@um
ulirang = *ulirang vs +g
Unang = :F+ng vs :F*unang
nakikipag-areglo = ~na$kikipag vs ~nakikipag
pagkakataong = *pagkakataong vs ~pag$ka$ka+ng
Nagpatunay = :FS~nag~pa vs :FS~nag
Kin-la-Poubelle = :F*kin-la-poubelle vs :F*kinlapoubelle
karagdagang = *karagdagang vs ~ka+ang
malalaking = ~ma+ng vs ~ma$la+ng
tignan = *tignan vs #tignan
pagkakakilanlan = *pagkakakilanlan vs %%%pagkakakilanlan
naiiba = *naiiba vs ~na$i
paminsan = ~pa+an vs ~pa
sinasabi = $sa@in vs %%%sinasabi
sosyalistang = *sosyalistang vs +ista+ng
digmaang = *digmaang vs +g
kabuuang = *kabuuang vs ~ka+ang
henetikong = *henetikong vs %%%henetikong
pag-urong = ~pag$+ng vs ~pag
pamamahala = ~pa~ma vs ~pa$ma
pamamahagi = *pamamahagi vs @ma
tagabato = *tagabato vs ~taga
Ginayakan = :FS@in+an vs :FS@in
nagsisilbing = ~nag$si+ng vs ~nag$si
kalayaan = ~ka+an vs #kalayaan
kalakaran = *kalakaran vs #kalakaran
BL-publish = :F$bl vs :F*blpublish
nalililinya = ~na$li vs ~na$li$li
nakaraang = *nakaraang vs +g
literatura = *literatura vs #literatura
mapag-aralan = *mapag-aralan vs ~ma~pag+an
Desbentaha = :FS*desbentaha vs :FS%%%desbentahe
high-school = $high vs %%highschool
pampasahero = *pampasahero vs ~pam
pampamilyang = *pampamilyang vs ~pam+ng
magkasunod = ~mag~ka vs ~magka
kabuuan = *kabuuan vs ~ka+an
pag-amoy = ~pag$ vs ~pag
masa-market = ~ma$sa vs *masamarket
inatake = ~i~na vs *inatake
tag-araw = $tag vs ~tag
mapatunayang = *mapatunayang vs ~ma~pa+ang
kapit-bahay = ~ka$pit vs #kapitbahay
tipanan = +nan vs +an
misyong = *misyong vs +g
pumapalit = ~pa@um vs $pa@um
pamamaraang = *pamamaraang vs $ma+g
Mayroong = :FS*mayroong vs :FS+g
pagkakaibang = *pagkakaibang vs ~pag~ka$ka+ng
manunula = *manunula vs ~ma$nu
isagawa = *isagawa vs ~i~sa
kadahilanan = *kadahilanan vs ~ka+anan
sumasailalim = *sumasailalim vs %%%sumasailalim
daan-daang = *daan-daang vs $daan+g
makakagawa = ~ma~ka vs ~ma$ka
prestihiyosong = *prestihiyosong vs +ng
kapanganakan = ~ka~pa+an vs ~ka~pang+an
magkaraniwan = ~mag+an vs ~mag
mamasahero = *mamasahero vs $ma
Bulletin = :F+in vs :F*bulletin
pagkaka-kasal = *pagkaka-kasal vs ~pag$ka
pandikit = *pandikit vs ~pan
ginawan = +an vs @in+n
pag-iingat = ~pag$~i vs ~pag$i
pagsasapin-sapin = ~pag$sasapin+in vs ~pag$sapin
Natagpuan = :FS*natagpuan vs :FS~na+an
Nakalimutang = :F*nakalimutang vs :F~na~ka+ang
pangangailangan = *pangangailangan vs ~pa$nga
sabihin = +hin vs #sabihin
pambansa = *pambansa vs ~pam
panganganak = *panganganak vs ~pa$nga
kinalaban = ~ka@in+an vs ~kina
bersyong = *bersyong vs +ng
Bretanyang = :F+ng vs :F*bretanyang
kapagdaka = ~ka vs #kapagdaka
Tinatalakay = :FS$ta@in vs :FS%%%tinatalakay
agarang = *agarang vs +g
Umiiral = :FS~um~i vs :FS~um$i
aliwan = +an vs #aliwan
Kaliwanagan = :F~ka+an vs :F*kaliwanagan
kalagitnaan = *kalagitnaan vs %%%kalagitnaan
sumasagawa = *sumasagawa vs $sa$sa@um
nanggaling = *nanggaling vs ~nang
pinaka-laraniwang = *pinaka-laraniwang vs ~pinaka+g
ikatlong = *ikatlong vs ~ika+ng
pagpataas = ~pag~pa vs ~pagpa
pagkakaroon = ~pag~ka vs ~pag$ka
pinagmulan = *pinagmulan vs ~pinag+n
lenguwahe = *lenguwahe vs #lenguwahe
Tinatawag = :FS$ta@in vs :FS~tina
binigyan = *binigyan vs @in+an
sinasama = $sa@in vs ~sina
magtataas = ~mag$ta vs ~magta
inilimbag = ~i~ni vs ~in~i
Kristyanong = :F+ng vs :F*kristyanong
kolonisasyong = *kolonisasyong vs +g
ipinapakita = ~i~pina~pa vs ~ipinapa
box-office = *box-office vs %%boxoffice
pambansang = *pambansang vs ~pam+ng
gagawin = $ga+in vs ~ga
sangkatauhan = *sangkatauhan vs #sangkatauhan
madalang = ~ma+ng vs ~ma
pamayanan = ~pa+nan vs #pamayanan
kriminal = *kriminal vs #kriminal
magsagawa = *magsagawa vs ~mag~sa
makasaysayan = ~ma~ka+an vs ~ma
nangyari = *nangyari vs ~nang
kasunduan = *kasunduan vs ~ka+an
animo’y = *animo’y vs *animoy
mahahabang = ~ma$ha+ng vs +ng
nakadila = ~na~ka vs ~naka
nasailalim = *nasailalim vs ~nasa
European = :F+an vs :F*european
mabigyan = *mabigyan vs ~ma+an
Pandaigdigang = :FS*pandaigdigang vs :FS~pan+ang
mag-aral = ~mag$ vs ~mag
CHHAPP = :F*chhapp vs :A*chhapp
nakagawa = ~na~ka vs ~naka
matatagpuan = *matatagpuan vs ~ma$ta+an
pamamagitan = *pamamagitan vs #pamamagitan
pinanggalingang = *pinanggalingang vs ~pinang+ang
Kamakailan = :FS~ka~ma+an vs :FS~kama
bumubuo = *bumubuo vs ~bu~mu
pagkaunlad = ~pag~ka vs ~pagka
MENCAP = :F*mencap vs :A*mencap
nabubuo = *nabubuo vs ~na$bu
buwan. = *buwan. vs #buwan.
naka-imbak = ~na~ka$ vs ~naka
kinakaribal = ~ka@in vs $ka@in
pandaigdigang = *pandaigdigang vs ~pan+ang
pinakamaagang = ~pinaka~ma+ng vs ~pinaka+ng
kapaligirang = *kapaligirang vs +g
pagpapalista = ~pag~pa vs ~pag$pa
nagaganap = *nagaganap vs ~na$ga
pagdating = ~pag+ng vs ~pag
Africa = :F*africa vs :F*sfrica
pag-angkin = ~pag$+in vs ~pag
lumiliko = $li@um vs %%%lumiliko
inning = *ining vs #ining
manggagamot = *manggagamot vs ~mang$ga
lagyan = *lagyan vs #lagyan
kinikilalang = $ki+ng vs ~ki~ni+ng
defense = *defense vs :F*defense
Kinikilala = :F$ki vs ~kini
nailimbag = ~na~i vs ~nai
inilarawan = ~i~ni+an vs ~i~ni
tinataglay = $ta@in vs %%%tinataglay
CL160 = :F*cl160 vs :A*cl160
pinakamababang = ~pinaka~ma+ng vs ~pinaka+ng
naka-micrometers = *naka-micrometers vs *nakamicrometers
pag-uunlad = *pag-uunlad vs ~pag$u
makitungo = *makitungo vs ~maki
tinutulan = *tinutulan vs @in
industiya = *industiya vs #industiya
Pagkaraan = :FS~pag+an vs :FS~pagka
kinabubuhayan = *kinabubuhayan vs ~kina$bu+an
Inspirsyon = :FS*inspirsyon vs :FS#inspirsyon
pinakamagaan = ~pinaka+an vs ~pinaka
milyong = *milyong vs +g
nakakataas = ~na~ka vs ~na$ka
nagiging = ~nag+ng vs ~na$gi
tradisyonal = *tradisyonal vs #tradisyunal
magpapatibay = ~mag~pa vs ~mag$pa
lipunang = *lipunang vs +g
kopnan = *kopnan vs #kopnan
dumating = @um+ng vs @um
Nakagawa = :FS~na~ka vs :FS~naka
katotohanang = *katotohanang vs ~ka+han+ang
Ensayklopedyasts = :F*ensayklopedyasts vs *ensayklopedyasts
Napakahirap = :FS~na~pa~ka vs :FS~napaka
pagdaan = ~pag+an vs ~pag
sama-samang = $sama+ng vs $sama
lipunan = *lipunan vs #lipunan
rasyonalismo = *rasyonalismo vs #rasyonalismo
istandardisadong = *istandardisadong vs %%%istandardisadong
magamit = *magamit vs ~ma
change-up = *change-up vs *changeup
patakarang = *patakarang vs +g
modernismo = *modernismo vs #modernismo
kasulukuyang = *kasulukuyang vs +g
pagmamana = ~pag~ma vs ~pag@ma
sukdulang = *sukdulang vs +ang
ikalabinsiyam = *ikalabinsiyam vs ~ika
i-mass-produce = ~i$-mass vs *imassproduce
komentarista = *komentarista vs +arista
nakalakbay = ~na~ka vs ~naka
itinalagang = ~i@in+ng vs +ng
inuugnay = *inuugnay vs ~in$u
kasamaang-palad = ~ka$samaang vs *kasamaangpalad
kabilang = +ng vs ~ka
magkasingkahulugan = *magkasingkahulugan vs ~mag~ka~sing
pagkakaiba-iba = *pagkakaiba-iba vs ~pag$ka$iba
ika-labing = *ika-labing vs %%%ikalabing
pagpapalit = ~pag~pa vs ~pag$pa
depensibong = *depensibong vs +ng
magaganap = *magaganap vs ~ma$ga
nagagamit = *nagagamit vs ~na$ga
ipapakita = ~i~pa vs ~i$pa
henetika = *henetika vs #henetika
makabenta = ~ma~ka vs ~maka
papano = ~pa vs $pa
inalis = *inalis vs ~in
maganda = ~mag vs ~ma
kompederasyon = *kompederasyon vs #kompederasyon
Nagpatrolyo = :FS*nagpatrolyo vs :FS~nag
panghalili = *panghalili vs ~pang
CD-ROM = :F*cd-rom vs :F*cdrom
reaksyong = *reaksyong vs +ng
Sinasabi = :FS$sa@in vs :FS%%%sinasabi
pagpaparami = ~pag~pa vs ~pag$pa$pa
kinikilingan = $ki@in+an+ng vs $ki@in+an
layunin = *layunin vs +in
lubusan = *lubusan vs +an
pagpapalabas = ~pag~pa vs ~pag$pa
inihatid = ~i~ni vs ~ini
nag-iisip = ~nag$~i vs ~nag$i
ginagawang = $ga@in+ng vs @in+ng
kasarian = ~ka+an vs #kasarian
Simbahang = :F*simbahang vs :F+g
kalayaang = *kalayaang vs ~ka+an+g
nakausling = ~na~ka+ng vs ~naka+ng
pagkakaiba = ~pag~ka vs ~pag$ka$ka
panlipunan = *panlipunan vs ~pan
nakipagkayari = *nakipagkayari vs ~naki~pag
kaugaliang = *kaugaliang vs ~ka+ang
lenggwahe = *lenggwahe vs %%%lenggwahe
Taiwan = :F*taiwan vs :F*taiawan
makabuluhang = *makabuluhang vs +g
koloniyal = *koloniyal vs #koloniyal
dahan-dahan = $dahan+han vs $dahan
salamay = *salamay vs %%%salamay
ikalabing-walong = *ikalabing-walong vs ~ika
topograpiya = *topograpiya vs #topograpiya
naiintindihan = ~na~i+han vs ~nai+han
sumasangkot = $sa@um vs ~suma
pagkabuhay = ~pag~ka vs ~pagka
maganap = *maganap vs ~ma
pinakamalaki = ~pinaka~ma vs ~pina~ka
pagsasapanlipunan = *pagsasapanlipunan vs %%%pagsasapanlipunan
nagpapatuloy = ~nag~pa vs ~nag$pa
Albert = :F*albert vs :Falbert
Mag-aatake = :FS*mag-aatake vs :FS~mag$a
katutubong = ~ka$tu+ng vs +ng
Au-30 = :F*au-30 vs :F*au30
rasyonalidad = *rasyonalidad vs #rasyonalidad
umuurong = *umuurong vs ~um$u
kakaunting = ~ka+ng vs $ka$ka+ng
rasistang = *rasistang vs +ng
natagpuang = *natagpuang vs ~na+ang
Au-12 = :F*au-12 vs :F*au12
nag-iiba = *nag-iiba vs ~nag$i
mananatiling = *mananatiling vs $na+ng
makalaya = ~ma~ka vs ~maka
sasakyan = *sasakyan vs $sa+an
makasaysayang = ~ma~ka$sa+ng vs ~ma+g
dagtang = *dagtang vs +g
namamahala = ~na~ma vs ~na$ma
nagsusulong = ~nag$su+ng vs ~nag$su
nag-iisang = *nag-iisang vs ~nag$i+ng
mapagkakainan = *mapagkakainan vs ~ma~pag$ka+an
maramihang = *maramihang vs ~ma+hang
humahantong = $ha@um+ng vs %%%humahantong
pangani = *pangani vs %%%pangani
naguhitan = *naguhitan vs ~na+an
pantaong = *pantaong vs ~pan+ng
Glue-Ear = :F*glue-ear vs %%glueear
Dumaan = :FS@um+an vs :FS@um
tukuying = *tukuying vs +g
kawalan = +an vs ~ka+n
Ipinakilala = :FS~i~pina vs :FS~ipina
generikong = *generikong vs +ng
Slackware = :F*slackware vs :F:*slackware
pagkalahatan = ~pag~ka+an vs ~pagka+an
Ipinaglaban = :FS~i~pinag+an vs :FS~i~pinag
makapagdudulot = *makapagdudulot vs ~ma~ka~pag$du
pamamagitin = *pamamagitin vs #pamamagitan
malaking = ~ma+ng vs +ng
maka-iskor = ~ma~ka$ vs ~ma~ka
pinanggalingan = *pinanggalingan vs ~pinang+an
maiwan = ~ma+an vs ~ma
kapansin-pansin = ~ka~pa$nsin+in vs ~ka$pansin
Lusitanians = :F*lusitanians vs :F*lusotanians
